,latitude,longitude,elevation,pm25,no2,temp,humidity,wind_speed,wind_deg,wind_u,wind_v,stagnation,upwind_fire_intensity,upwind_fire_count,hour_of_day,day_of_week,month,weekend,hour_sin,hour_cos,dayofyear_sin,dayofyear_cos,season_winter,season_summer,season_monsoon,season_post_monsoon,upwind_fire_transport_index,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_24,no2_lag_1,no2_lag_2,no2_lag_3,no2_lag_24,pm25_roll_mean_6,pm25_roll_std_6,pm25_roll_mean_12,pm25_roll_std_12,pm25_roll_mean_24,pm25_roll_std_24,no2_roll_mean_6,no2_roll_std_6,no2_roll_mean_12,no2_roll_std_12,no2_roll_mean_24,no2_roll_std_24
latitude,1.0,0.23172525316046433,,0.08122700770686073,-0.09239887011095589,-0.22516169096193508,-0.07264778853387469,-0.10813186334409255,0.11263768212293439,0.16267055186897147,0.07671430899665127,0.1336171365187567,0.15268675048149682,0.18947006348150258,-0.0002211910277302816,-0.01135550731309236,0.01882290941663432,-0.007739359100546026,-6.070002844548062e-05,0.0012851368216112665,-0.06885217327551467,0.04413889040447301,0.0017156634029422994,-0.05502960174827173,0.0032676366372965367,0.04640947802460953,0.12982755185845843,0.08108352463515917,0.08094283591767888,0.08081597102355906,0.07912375839071682,-0.09248010149866309,-0.09259270086520732,-0.09272383831788418,-0.09354706176805347,0.08359178124592888,0.07945051567824876,0.08568191274626785,0.08783641172509084,0.08792073638398856,0.09778289340411463,-0.09672387428858638,-0.15127383773032352,-0.10087844525274009,-0.1747302172989267,-0.10574804585339596,-0.20146350117557915
longitude,0.23172525316046433,1.0,,0.29370862128787034,0.1810698205388569,-0.1036031579671596,0.042482858294824295,-0.024954751386855992,0.03820807954198679,-0.04289850624431399,0.07945471023815869,0.0211502256660606,-0.06612956275920777,-0.04148138950406797,0.0023054303463626675,0.0037900919909998098,0.0178036873679199,0.002140723569472802,-0.0023271870442621995,-0.0026142349439923435,-0.015067416085438535,0.09547781316394806,0.05838595787144494,-0.03536668730606875,-0.06829588095786938,0.04569327207084961,-0.051271753058865006,0.2936287209652112,0.2935036043295553,0.29336093017941345,0.2888412734990843,0.1810442303154497,0.18101760582449916,0.18097955674559876,0.1792419495590048,0.3031740899384117,0.1519331006582905,0.3114807542970651,0.18855281984824163,0.3206235288640618,0.22992575286641942,0.18891148309040884,0.08140303069206489,0.1964369252162759,0.11608577258095032,0.20497857952726892,0.14512307528445104
elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm25,0.08122700770686073,0.29370862128787034,,1.0,0.47235339400261755,-0.33664883518276095,-0.06161516540037276,-0.1662822920324205,0.09038686478461493,0.1762881622079338,-0.06359442957957223,0.19250556915105763,0.026225693733188817,0.05038988129524491,0.043537382886868266,-0.018502207758595023,0.07755810971127897,-0.007648589417157988,-0.0671320366596124,0.023776140439748142,0.01981954435471418,0.46023337728643016,0.3426971218454079,-0.11498121627441384,-0.36330900408407363,0.14282629245567746,0.009510367282014272,0.9680885957129097,0.9336873719841154,0.9005945936988436,0.7755525765778696,0.4798618468635888,0.4818699036999363,0.4778665680611561,0.4336937047309473,0.9501810252971847,0.46835081682082974,0.9083917570946785,0.5475580507251754,0.8829800939264898,0.6061608313190855,0.4940335278136892,0.23824660793892302,0.4887695402510259,0.31052854256724544,0.4854940158905074,0.3400502029852691
no2,-0.09239887011095589,0.1810698205388569,,0.47235339400261755,1.0,-0.1750346703309416,-0.07898634258965866,-0.10931202028245866,0.039997472706042383,0.12013323810630112,-0.04895149831171106,0.1557289893277288,-0.027463880910387324,-0.019188493351702623,0.06511294897545063,-0.014219241692336798,0.007573422114121018,-0.011315410418558453,-0.1050615334918834,-0.046860943317910256,0.052806073960626934,0.3508456967852908,0.2217657723154525,-0.04968497430061298,-0.2950672860695826,0.13115496155330844,-0.032671514878157844,0.45676278511374846,0.4413940877665773,0.42769560464722695,0.4188288491916976,0.9583887489981765,0.9156197311129529,0.8718455713134725,0.7553990037546867,0.45139722882118954,0.200363406794784,0.4441675976917456,0.26581035543930615,0.45720906748831197,0.3099150113914236,0.9344370010909481,0.5000070048145561,0.8758028518542824,0.5617150409402115,0.8510494471260845,0.5866129972789734
temp,-0.22516169096193508,-0.1036031579671596,,-0.33664883518276095,-0.1750346703309416,1.0,-0.4841689383526159,0.2016775720917302,-0.10212744218659499,-0.10998710621853452,0.05766566920961481,-0.4833679038269228,0.005590939307827672,-0.029488457176587712,-0.1556568403139104,0.019351380947055942,-0.0601743496755076,0.0034120351692485677,0.30720516124148217,-0.33054895736847384,0.0642499933780576,-0.6650557994153601,-0.5903678235702495,0.3410210225433914,0.341161224539443,-0.08606609038482407,0.03813457762062318,-0.33451893184417525,-0.3318936840992163,-0.32913802501251355,-0.3299126766759434,-0.1830809993671521,-0.1879410079841711,-0.19034537233927748,-0.17747100632591445,-0.3412117061658165,-0.13703643797343057,-0.33369382165372663,-0.20231399815757636,-0.3282345896353607,-0.21061387411910715,-0.19432766114743372,-0.01961464632117162,-0.19076560960594863,-0.06111447989441774,-0.15778984231363932,-0.038108511123226683
humidity,-0.07264778853387469,0.042482858294824295,,-0.06161516540037276,-0.07898634258965866,-0.4841689383526159,1.0,-0.16954549061508462,-0.15229933571471116,-0.25109702557118146,0.14875213143065322,0.4415641359182244,-0.15300898737193697,-0.18583531049459023,0.16039740436708302,-0.010883514335667178,0.19096881813254554,-0.0041312657223619795,-0.3377354763490682,0.3596945937107774,-0.4191290774508913,-0.00048276932983561734,0.09310539217603271,-0.483550978189076,0.3654400367109108,-0.016858568055028673,-0.16411387318634715,-0.06324995620526432,-0.06565975056321255,-0.06820187692065173,-0.054543853734386,-0.06889172848870936,-0.06211612398958446,-0.0579288021213567,-0.0717482256158047,-0.06937847752298741,-0.06944061730453925,-0.08819945710086952,-0.05072196523420273,-0.10774677720312609,-0.08611694074154576,-0.06583211027590673,-0.06599524229318109,-0.07544516218290977,-0.045648302172885444,-0.1259805595586421,-0.09123448030327262
wind_speed,-0.10813186334409255,-0.024954751386855992,,-0.1662822920324205,-0.10931202028245866,0.2016775720917302,-0.16954549061508462,1.0,0.09731830214272714,-0.046666377788736925,-0.13018656428742123,-0.7394089905622971,0.04560022904139741,-0.011761029513761507,-0.04196279020713805,0.013338248125672697,-0.1611240056810793,-0.01105981673789716,0.10583442829336136,-0.14865423242103212,0.18394572753499744,-0.22165359869189943,-0.08665219107598739,0.17263180858709815,0.10498941278571164,-0.18395240023249967,0.10833061687254256,-0.16540030991485324,-0.16353653961539721,-0.16153016424619787,-0.1289554799224478,-0.11374883398955346,-0.1159285946838395,-0.11683302065358113,-0.08520769458902187,-0.1675414393900936,-0.07443249273031252,-0.16661027718560112,-0.09732431546650586,-0.1544470940343441,-0.11231331274278385,-0.11982959782496698,-0.07129591920320827,-0.12408266404343067,-0.084753679440612,-0.10984736915745787,-0.08876548513155912
wind_deg,0.11263768212293439,0.03820807954198679,,0.09038686478461493,0.039997472706042383,-0.10212744218659499,-0.15229933571471116,0.09731830214272714,1.0,0.21179868440903482,-0.7087094443022324,-0.1331391414806224,0.09776237789820105,0.1229273886133949,-0.016244925057734807,-0.0017281730646869426,-0.014665626614991,0.010694276383634045,0.06734094951148172,-0.18260914376662282,0.04453339556143196,0.13381468413546488,0.09122034504666479,-0.008979739946323412,-0.1269775917446627,0.04901300017333607,0.09012498981894515,0.08809208195362705,0.08772920645435382,0.08805433773134558,0.06752134282838194,0.030659701970590578,0.023092342511555817,0.018768346531451163,0.03991456834860244,0.09205076618848027,0.047944584753115596,0.09818132476977548,0.052067155503050626,0.10311712715632239,0.06137116222693869,0.02576396525285076,-0.0010369799516027093,0.025062648767820092,-0.005268396015380595,0.04604604786463287,0.004674322374794498
wind_u,0.16267055186897147,-0.04289850624431399,,0.1762881622079338,0.12013323810630112,-0.10998710621853452,-0.25109702557118146,-0.046666377788736925,0.21179868440903482,1.0,-0.17494859648995567,0.0471879399463047,0.08845979201243805,0.104103820879615,0.04688729135474592,-0.01915833874877593,0.01129129655128741,-0.0074191833860233715,-0.04432096252078021,-0.13334562513510947,0.0611161829500246,0.30697864162801414,0.15434857671406282,0.04158067794524207,-0.3248240543496838,0.14326413197065374,0.09921191972299558,0.17332450330228336,0.17103387055017993,0.16921509599991788,0.16746654094696029,0.11447643988332569,0.11055873850147777,0.10798960284057417,0.12047787967913512,0.176593409797724,0.11303593778175755,0.17811504638134476,0.12872607319697377,0.18851780196686158,0.13642977616647334,0.11566436303860246,0.06202224923279,0.11631822525617641,0.06872973620809698,0.1303016891821088,0.07040457815863556
