,latitude,longitude,elevation,pm25,no2,temp,humidity,wind_speed,wind_deg,wind_u,wind_v,stagnation,upwind_fire_intensity,upwind_fire_count,hour_of_day,day_of_week,month,weekend,hour_sin,hour_cos,dayofyear_sin,dayofyear_cos,season_winter,season_summer,season_monsoon,season_post_monsoon,upwind_fire_transport_index,pm25_lag_1,pm25_lag_2,pm25_lag_3,pm25_lag_24,no2_lag_1,no2_lag_2,no2_lag_3,no2_lag_24,pm25_roll_mean_6,pm25_roll_std_6,pm25_roll_mean_12,pm25_roll_std_12,pm25_roll_mean_24,pm25_roll_std_24,no2_roll_mean_6,no2_roll_std_6,no2_roll_mean_12,no2_roll_std_12,no2_roll_mean_24,no2_roll_std_24
latitude,1.0,0.13494840121342258,,0.05295460027096289,-0.10354047346713227,-0.16467998014357874,-0.0848603927810486,-0.12198203541864339,0.14105577623348975,0.14971122798673997,0.07376411552597821,0.1440370647963849,0.0871183179041674,0.07495245031289104,-6.116380437514449e-05,-0.01290692571841864,-0.0008330733251234644,-0.008405365088493875,-0.000508112799504178,0.0023058780742258693,-0.06676299375606015,-0.00697405070042206,-0.03012160776904869,-0.0279841006128716,0.023526289873346824,0.031752121652417004,0.07506273847038078,0.052836754923212034,0.05271444218638367,0.05261927317871721,0.0528117983777521,-0.10350582922516342,-0.10350769340540605,-0.10347450695581241,-0.10118393027975646,0.05626781017023268,0.0940207214891939,0.058290305023341385,0.09711133218609454,0.06085603705803151,0.09952893633748638,-0.11275106256251383,-0.17080268536679363,-0.11870774517381084,-0.22504397026470283,-0.12360429208424172,-0.284406881717605
longitude,0.13494840121342258,1.0,,0.27506228023104595,0.14377176005371584,-0.10986420484464121,-0.0019542942224637662,-0.009089764128503396,0.0416205872793401,-0.035251080577165195,0.04489559565422094,0.023573966481816405,-0.04384905867697569,0.08422890755686503,0.0019127472906508378,0.001386129485904822,0.009364596274659777,-0.00022268450453367535,-0.0018769662211435537,-0.002099554623961813,0.003360839000694522,0.08756002347151413,0.05772040265840313,-0.02290437640587247,-0.0612806936958247,0.027457531843323665,-0.0380369019351667,0.275070336761359,0.2750194302475631,0.2749585181828291,0.2722202714629633,0.14379428827088955,0.1438081406779273,0.14386963299836042,0.14212579331046482,0.28509031584767686,0.17361011568429918,0.2925711027488022,0.20739809145359844,0.30118541001541815,0.25606260544779824,0.14808451301337294,0.05899291983455524,0.15481838588672756,0.06766776899547135,0.1627807211676612,0.08090294954840993
elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm25,0.05295460027096289,0.27506228023104595,,1.0,0.47131635186345666,-0.3302006842493194,-0.17655290761887082,-0.14887334587803241,0.09420648239127295,0.23623938853911366,-0.05590266561573229,0.19372378362663642,0.31876071769750486,0.37723140560693685,0.027926260337637985,-0.015151967938893287,0.17717280978223937,-0.006175264089402706,-0.04489020751671956,0.012877836300494393,0.08512790201884053,0.5331076951597172,0.3712461386837309,-0.09693881634102798,-0.4593737803114593,0.19676122983309347,0.2960266671992773,0.9593824842500809,0.9277623642232857,0.9004657208026496,0.772913978667262,0.47191283914425775,0.47076250271535747,0.46745356695060597,0.4368343335343122,0.9496693664217248,0.37566112047346084,0.9138475048710307,0.4541811910154995,0.8864822756849972,0.5527128128677705,0.4824308584562934,0.19406191357798303,0.4833777252812455,0.24105259185430325,0.48225225269012306,0.29031223249570887
no2,-0.10354047346713227,0.14377176005371584,,0.47131635186345666,1.0,-0.21823805372832503,-0.11062635322634778,-0.06422618756183357,0.04490795367233998,0.14204326808152754,-0.05115335617543388,0.12466090710375748,0.1638701495230518,0.19258781394584265,0.044270425266952185,-0.016482928709196275,0.055881923024987214,-0.013458869820501443,-0.06890356261655174,-0.03860798899788025,0.08945517417544387,0.3822584441391917,0.24934365343722592,-0.05489327628096603,-0.3248218699628776,0.13939928575968277,0.15608714725868958,0.45962973011065683,0.45035831844721946,0.4418892346274583,0.42775850522233483,0.9583309582106735,0.9272092326193638,0.8980220005919538,0.7891903471356406,0.4614933071463051,0.15697494644216542,0.46117284818381216,0.22269519280334404,0.471272066580737,0.2939397222782333,0.9485613809783026,0.3571202069503715,0.9081466066170513,0.41691346606336155,0.882046497531455,0.48103030623934545
temp,-0.16467998014357874,-0.10986420484464121,,-0.3302006842493194,-0.21823805372832503,1.0,-0.421205310744849,0.17843950965109176,-0.09078028957002826,-0.11984066088554424,0.06134663164767294,-0.48613915054867035,-0.09726648778392875,-0.12631660439140807,-0.1747140282329608,0.01989217054813798,-0.17181510006343945,0.004968168029443258,0.3411831001458643,-0.3199590323797154,0.02239766206103483,-0.6758893169734652,-0.5566049391637901,0.3246563330607117,0.36683930349799304,-0.1306953668821229,-0.0741590045611568,-0.3267240951302743,-0.32292498815412995,-0.3193670915552369,-0.32776605429378597,-0.22400001709691578,-0.22717071865221192,-0.22840838973537594,-0.2178910445050682,-0.3295247919835302,-0.1371359765858117,-0.3258126595231543,-0.19300498591956852,-0.32655332506470486,-0.22275485276680007,-0.22869635251806297,-0.06323872366912452,-0.2272933987678655,-0.08350234555591214,-0.20256400904702399,-0.07135229651977114
humidity,-0.0848603927810486,-0.0019542942224637662,,-0.17655290761887082,-0.11062635322634778,-0.421205310744849,1.0,-0.16766925120845255,-0.1650202858021903,-0.2545551285570961,0.14227399473076768,0.4161487341083949,-0.45428547612604875,-0.43719515287665334,0.17440823147719325,-0.008505302535909408,0.12454268361168588,-0.004508951757196193,-0.36753666631045595,0.36025269657679454,-0.3644281256196637,-0.025195728648247255,0.07095666297677224,-0.43329415770677576,0.3765240531972235,-0.053364397894140866,-0.46308757902130643,-0.1769179788906975,-0.1773038582546605,-0.17774644939688602,-0.1690127886193986,-0.10283450531861715,-0.09661228913969648,-0.09159055076952759,-0.10599917288899491,-0.18774829815502778,-0.10469784754634369,-0.2008157116374342,-0.11214215805973968,-0.21838764780724426,-0.15414304538433676,-0.10086576698228163,-0.05693558708360319,-0.10211205086622767,-0.05024249297536885,-0.13824554264431937,-0.08179892939065368
wind_speed,-0.12198203541864339,-0.009089764128503396,,-0.14887334587803241,-0.06422618756183357,0.17843950965109176,-0.16766925120845255,1.0,0.11795752050421118,0.051322258153540114,-0.22793428727697687,-0.7449048217804111,0.07611631782185026,-0.06751164002006797,-0.016673606401680297,0.014762600079643938,-0.16903419814232326,-0.003621129927944193,0.07318521006656598,-0.15602756991866182,0.1843167696062365,-0.17406695447693682,-0.05811084566442854,0.1643265382014711,0.07332075751824992,-0.17179089523337707,0.1915462175672084,-0.14683095804053128,-0.14399986421044558,-0.14122181429523498,-0.11242115480348908,-0.06802717069065181,-0.07098714059762007,-0.07295356812182689,-0.04590954652333808,-0.14695652577381904,-0.07605535329244649,-0.14273572859196207,-0.09374834013459483,-0.1325711298775249,-0.1098430756906399,-0.0740726333984035,-0.05064574668878199,-0.07906459467702973,-0.052550312985640224,-0.06769443262644738,-0.04526766485913184
wind_deg,0.14105577623348975,0.0416205872793401,,0.09420648239127295,0.04490795367233998,-0.09078028957002826,-0.1650202858021903,0.11795752050421118,1.0,0.3152461182873986,-0.6847662059378539,-0.12634713086625124,0.15513180669537602,0.10987691862531831,-0.007252598410447277,-0.005977687514519028,0.012005687188089776,0.005530019368118041,0.06398336488408439,-0.18402020116573745,0.048321326361721297,0.14633290692777565,0.09566356601170803,-0.004673282937742475,-0.1462662843718177,0.060479991435523,0.17059127331798873,0.09156810355044949,0.09080178798909305,0.09046970233150459,0.06842167425565637,0.03893835254771846,0.03474546896359005,0.0317289588299408,0.04693801744475529,0.0954887353980025,0.054295361308476744,0.09838454131908324,0.057636468473278364,0.0992499709471671,0.06260537128577624,0.03595787512990798,0.00790741825587868,0.03416983949261114,0.0023205616552619142,0.044639196910743854,0.001860117724380391
wind_u,0.14971122798673997,-0.035251080577165195,,0.23623938853911366,0.14204326808152754,-0.11984066088554424,-0.2545551285570961,0.051322258153540114,0.3152461182873986,1.0,-0.19295773243782444,-0.002494496164396137,0.2217672980663853,0.1960505858044473,0.05043017690232882,-0.02116205762602108,0.05246127535479499,-0.012141822283877985,-0.03611361160864487,-0.14852960724172404,0.06625594305170218,0.2991967735142852,0.16209494626162033,0.035929783170887526,-0.3246642929593995,0.14071122524315482,0.23414459519633746,0.23416174260719202,0.23354587304065091,0.23336550034237458,0.2205146221921942,0.13715778570790557,0.13383936609682415,0.1320776788227602,0.14158441304780633,0.2444128473879338,0.14561581116368108,0.24862314597188995,0.17136798696531058,0.251969156059806,0.18657737194620827,0.1387439750192565,0.0527524860629596,0.139940155095678,0.05313405135953526,0.149015251991656,0.05022977402239106
wind_v,0.07376411552597821,0.04489559565422094,,-0.05590266561573229,-0.05115335617543388,0.06134663164767294,0.14227399473076768,-0.22793428727697687,-0.6847662059378539,-0.19295773243782444,1.0,0.2040508608413057,-0.09949827559797682,-0.057086807567157394,0.023145489228708627,-0.016283639399495425,0.023581310185788396,-0.026246731092570794,-0.09317823421397829,0.18036071841637472,-0.09032644002181947,-0.1001611156981266,-0.08916257066786128,0.0029815749538466886,0.09997711795668536,-0.01758750008298921,-0.12732614270327236,-0.05433856347654512,-0.05438172068686593,-0.05503636077420767,-0.025296935184564846,-0.0454014153234702,-0.041288720923640256,-0.03909582057284157,-0.055166669657563214,-0.05630103101934272,-0.010241906712633109,-0.05671528263662707,-0.006229775973632663,-0.055705177535208775,-0.0040031751830329355,-0.04370715656453496,-0.04574636135313939,-0.04170377478831344,-0.053667501843023775,-0.05393787663826807,-0.06878589957601525
stagnation,0.1440370647963849,0.023573966481816405,,0.19372378362663642,0.12466090710375748,-0.48613915054867035,0.4161487341083949,-0.7449048217804111,-0.12634713086625124,-0.002494496164396137,0.2040508608413057,1.0,-0.04843886453094202,0.060068280438389805,0.2154416721642738,-0.016314428714567526,0.16448434894405337,0.0021978728510431513,-0.44642805331877894,0.2974393569162054,-0.1640051487922306,0.2332671765110299,0.11955427450432522,-0.1886556127930563,-0.09513464186654269,0.15617991297397907,-0.12842779863122478,0.1845656802541983,0.17559980439790035,0.1687689647317852,0.16415141720434573,0.12639854446973303,0.12394804562658288,0.11905056252406175,0.1089411500223375,0.17841959070982313,0.07568728329806648,0.1708508770908231,0.12007250669753654,0.15912260129844025,0.1226851694339859,0.12334992518367213,0.04936252883198456,0.11501336008664258,0.06531339696182367,0.08422166174568566,0.0431158988074038
upwind_fire_intensity,0.0871183179041674,-0.04384905867697569,,0.31876071769750486,0.1638701495230518,-0.09726648778392875,-0.45428547612604875,0.07611631782185026,0.15513180669537602,0.2217672980663853,-0.09949827559797682,-0.04843886453094202,1.0,0.8941783785616915,-0.0076091201393486945,0.007612553499880561,0.08695664437468381,0.015401513385642605,0.02173519829796441,-0.010748335817021774,0.23669136087337778,0.295111910012921,0.10601882427668148,0.2596566020010575,-0.545326167727712,0.21459978359385393,0.987244955498243,0.3173216492166927,0.3158204084315112,0.31437338701397627,0.30850890125370783,0.16360983904700582,0.1632475280357475,0.16293000106055786,0.16156553532542137,0.3270627839086651,0.11906594156966575,0.33240495738648645,0.16337324403059467,0.34224819157906133,0.21530513885574595,0.16752719088369844,0.08823685057609726,0.17267247182970935,0.11406803657785353,0.17919207955983235,0.14301090107900724
upwind_fire_count,0.07495245031289104,0.08422890755686503,,0.37723140560693685,0.19258781394584265,-0.12631660439140807,-0.43719515287665334,-0.06751164002006797,0.10987691862531831,0.1960505858044473,-0.057086807567157394,0.060068280438389805,0.8941783785616915,1.0,-0.008144637376963037,0.010840881014430334,0.14080150823556964,0.02306018789947449,0.011723868728944199,0.016985198524534194,0.19267783290672885,0.32685992745253695,0.07605811987492737,0.2457149864606674,-0.5872845070508939,0.3006078644123484,0.8614586695038761,0.37615821255645593,0.3750192093207915,0.3741936145449281,0.3635205852576403,0.19298929752546495,0.19316746957685632,0.19327279157713306,0.18542266091681772,0.38864331875292296,0.1493463028022652,0.39560720555002304,0.20332459051834464,0.4046972652309484,0.26431522068225216,0.19930907441863863,0.11384483814622427,0.2070446096033829,0.14770175300436758,0.21306781287330281,0.18294725486048274
hour_of_day,-6.116380437514449e-05,0.0019127472906508378,,0.027926260337637985,0.044270425266952185,-0.1747140282329608,0.17440823147719325,-0.016673606401680297,-0.007252598410447277,0.05043017690232882,0.023145489228708627,0.2154416721642738,-0.0076091201393486945,-0.008144637376963037,1.0,-0.010138906776300177,-0.0011121289538923334,-0.010946593984483867,-0.7491166022413251,-0.165470215658973,0.0015542065312679314,-0.0024474729418271163,-0.002125084769405606,0.00033829635129162147,0.004689467526872528,-0.0030486283013444336,-0.0030307803892104497,0.032455357485310095,0.03336838306245023,0.030237747535837443,0.028866826784678844,0.051580760761928864,0.05717293009502355,0.05834849134508597,0.044145601388969766,0.028435879780342684,0.035356059366783425,-0.0038403993691554865,0.0403328403585192,-0.0005125793640911074,0.0028428406415452008,0.05608885106058384,0.039172949868703934,0.023744027987311515,0.041303138424966586,-0.0008577616454161826,0.004007872079824513
day_of_week,-0.01290692571841864,0.001386129485904822,,-0.015151967938893287,-0.016482928709196275,0.01989217054813798,-0.008505302535909408,0.014762600079643938,-0.005977687514519028,-0.02116205762602108,-0.016283639399495425,-0.016314428714567526,0.007612553499880561,0.010840881014430334,-0.010138906776300177,1.0,-0.008699079791683878,0.7900812606126533,0.009500759113897783,-0.0040447431345654785,-0.0008700090500121513,-0.01485037476308534,-0.008304256334481525,0.014904976110926418,0.0009499114287820863,-0.006696254175011816,0.008393508202925252,-0.014470956982360953,-0.013657558691043997,-0.012750809615449468,-0.003341117384245052,-0.016198994847628448,-0.015863682703186933,-0.01550009778583592,-0.0034128024460645524,-0.013632996310686455,-0.014794532978804762,-0.011953883289809035,-0.01749838601433128,-0.00857726155179605,-0.015618890066903127,-0.016869837502161224,-0.023203821369703014,-0.01660990974501456,-0.025430658874485694,-0.012500769928949749,-0.014286480434412203
month,-0.0008330733251234644,0.009364596274659777,,0.17717280978223937,0.055881923024987214,-0.17181510006343945,0.12454268361168588,-0.16903419814232326,0.012005687188089776,0.05246127535479499,0.023581310185788396,0.16448434894405337,0.08695664437468381,0.14080150823556964,-0.0011121289538923334,-0.008699079791683878,1.0,0.0058708813788425004,0.0013614317610250318,0.0020570669706756425,-0.6250406742188783,0.28093735010228876,-0.02194796296064415,-0.4797165650493116,-0.04095927096307053,0.5127701089933054,0.06050092132689696,0.17661564758923393,0.1760809365049997,0.1755208047295808,0.16568389962862212,0.05551430150442436,0.055139649631360074,0.054841851464234155,0.051663853289375755,0.18058590134445474,0.05325335748916566,0.18268808027288264,0.0711176145560357,0.1833165802083171,0.08754403293502518,0.05625405685051738,0.05875601875573736,0.05864211433760739,0.06765017280132263,0.060704476641544526,0.07020128708902779
weekend,-0.008405365088493875,-0.00022268450453367535,,-0.006175264089402706,-0.013458869820501443,0.004968168029443258,-0.004508951757196193,-0.003621129927944193,0.005530019368118041,-0.012141822283877985,-0.026246731092570794,0.0021978728510431513,0.015401513385642605,0.02306018789947449,-0.010946593984483867,0.7900812606126533,0.0058708813788425004,1.0,0.00944055355093587,-0.0022271027655876717,-0.011527451297253683,-0.0016177829001729782,-0.006883668182977732,-0.004255363953728875,-0.003995128066290837,0.014921939026351983,0.014719366354100708,-0.005725048144864819,-0.005386746107510235,-0.004938356881583288,-0.0036420692307553076,-0.013717966671454546,-0.01396660863349721,-0.014159810913751217,-0.009355159505901942,-0.005369031496697533,-0.01280055622719276,-0.0044851519561989114,-0.017181783920700914,-0.0034314539564678603,-0.013099975592667065,-0.015255535995142174,-0.0222877315298113,-0.016023817921668956,-0.02449935949112654,-0.01439907545436369,-0.01622554742245446
hour_sin,-0.000508112799504178,-0.0018769662211435537,,-0.04489020751671956,-0.06890356261655174,0.3411831001458643,-0.36753666631045595,0.07318521006656598,0.06398336488408439,-0.03611361160864487,-0.09317823421397829,-0.44642805331877894,0.02173519829796441,0.011723868728944199,-0.7491166022413251,0.009500759113897783,0.0013614317610250318,0.00944055355093587,1.0,-0.0011765688887587324,-0.003387749495301004,0.0025221220117537225,0.0013266757230188998,-0.0007785802268949415,-0.004123076810590722,0.003667241186921987,0.022205132188963677,-0.04125197093382789,-0.03462249966714262,-0.025372745250423875,-0.04675745790181032,-0.0759060853785228,-0.07815171613012832,-0.07556952875294472,-0.06899793959632392,-0.028438598248757795,-0.02417879684393417,-0.0007172199490512436,-0.0434925903290918,0.00017204067767015232,-0.00420670752173846,-0.07436112236722599,-0.03235433954262618,-0.039146392988757835,-0.05042133775858042,0.0005793184655419572,-0.0045703592565681
hour_cos,0.0023058780742258693,-0.002099554623961813,,0.012877836300494393,-0.03860798899788025,-0.3199590323797154,0.36025269657679454,-0.15602756991866182,-0.18402020116573745,-0.14852960724172404,0.18036071841637472,0.2974393569162054,-0.010748335817021774,0.016985198524534194,-0.165470215658973,-0.0040447431345654785,0.0020570669706756425,-0.0022271027655876717,-0.0011765688887587324,1.0,0.0016510000078748092,0.003959558028306675,0.0035066895484792003,0.0013015421180510398,-0.00488575050745788,0.0003482585689949463,-0.03431947220105467,0.024852223567456304,0.03501676858618312,0.04248804475028528,0.012493387497721825,-0.018521164883736185,0.0026630807128243325,0.0232541644229319,-0.041992601289963905,0.032586716508591546,-0.029130517895846742,0.03096471786029492,-0.0012963696854675411,0.0017222018560222934,0.012790027563021049,0.0058698048373045575,-0.036899080484153975,0.03993551519278988,-0.002896795180219954,-0.0013163837764212484,0.0031253745307816454
dayofyear_sin,-0.06676299375606015,0.003360839000694522,,0.08512790201884053,0.08945517417544387,0.02239766206103483,-0.3644281256196637,0.1843167696062365,0.048321326361721297,0.06625594305170218,-0.09032644002181947,-0.1640051487922306,0.23669136087337778,0.19267783290672885,0.0015542065312679314,-0.0008700090500121513,-0.6250406742188783,-0.011527451297253683,-0.003387749495301004,0.0016510000078748092,1.0,-0.03285667876252687,0.2466843845014818,0.6977256446495129,-0.3569818469797337,-0.5288634956408585,0.254187510609123,0.08559338405554975,0.08603851754845028,0.08651095984444336,0.09319254200048975,0.09002664057889151,0.09060087884184692,0.09113474137160613,0.09618541759817224,0.09011838444235781,0.023881324979592815,0.09368925696082343,0.03944114514714013,0.09870312950898318,0.06604031626469446,0.09473751943314884,0.03759449497741903,0.09822900466013773,0.05956843435569045,0.1027428077436142,0.08898391243269176
dayofyear_cos,-0.00697405070042206,0.08756002347151413,,0.5331076951597172,0.3822584441391917,-0.6758893169734652,-0.025195728648247255,-0.17406695447693682,0.14633290692777565,0.2991967735142852,-0.1001611156981266,0.2332671765110299,0.295111910012921,0.32685992745253695,-0.0024474729418271163,-0.01485037476308534,0.28093735010228876,-0.0016177829001729782,0.0025221220117537225,0.003959558028306675,-0.03285667876252687,1.0,0.7289969350977213,-0.32463199030458717,-0.6458340133187109,0.2476830748822924,0.2712934345172119,0.5328914403369851,0.532667939028973,0.5324564881903916,0.525741271995445,0.3822702784258849,0.3822337373112461,0.38226349797579,0.3839176541441877,0.549393208734355,0.21167759816184226,0.5617665766297102,0.2754468220266105,0.5751595667911819,0.34707831312328985,0.3926494932641163,0.15842070266434194,0.4026453527681583,0.18740429537914416,0.41389454233711176,0.21682905439905378
season_winter,-0.03012160776904869,0.05772040265840313,,0.3712461386837309,0.24934365343722592,-0.5566049391637901,0.07095666297677224,-0.05811084566442854,0.09566356601170803,0.16209494626162033,-0.08916257066786128,0.11955427450432522,0.10601882427668148,0.07605811987492737,-0.002125084769405606,-0.008304256334481525,-0.02194796296064415,-0.006883668182977732,0.0013266757230188998,0.0035066895484792003,0.2466843845014818,0.7289969350977213,1.0,-0.2984743488125807,-0.3618323190158693,-0.3382439550552472,0.09848380676884691,0.3714171342485882,0.371611799660543,0.3717904227064298,0.3700368048476699,0.24964776099706712,0.2499553498088453,0.2502890973253435,0.25529525937127723,0.38189236644409325,0.10690789409644125,0.3900297674227467,0.1504701721209579,0.3993763700797503,0.20429510923802666,0.25515192491810085,0.03885205587688643,0.2602387859946352,0.057168415822820624,0.26691457250875034,0.07972222346303566
season_summer,-0.0279841006128716,-0.02290437640587247,,-0.09693881634102798,-0.05489327628096603,0.3246563330607117,-0.43329415770677576,0.1643265382014711,-0.004673282937742475,0.035929783170887526,0.0029815749538466886,-0.1886556127930563,0.2596566020010575,0.2457149864606674,0.00033829635129162147,0.014904976110926418,-0.4797165650493116,-0.004255363953728875,-0.0007785802268949415,0.0013015421180510398,0.6977256446495129,-0.32463199030458717,-0.2984743488125807,1.0,-0.3253653562733006,-0.30415432552616745,0.27532174191454944,-0.09660116017906319,-0.09632140041202965,-0.09599096842616847,-0.08964380413863987,-0.054509688607183825,-0.054117116989131075,-0.05380971873720495,-0.05172793807206989,-0.09655812141796405,-0.00894957064884834,-0.09677532756727694,-0.01352827078365551,-0.09636397458393799,-0.01318560972234728,-0.053928544813704814,0.020425173562909793,-0.05371577983005078,0.029504139212897684,-0.0528179813481369,0.04293029742370067
