Station ID,Station Name,City,State,Latitude,Longitude,Earliest timestamp,Latest timestamp,Total downloaded rows,Completeness %,Available pollutants,Quality score
860,"Sanjay Palace, Agra - UPPCB",Agra,Uttar Pradesh,27.19865833,78.00598056,2016-03-22T00:20:00Z,2021-10-26T02:00:00Z,953972,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",96.65
5576,"Moti Doongri, Alwar - RSPCB",Alwar,Rajasthan,27.554793,76.611536,2018-03-09T05:30:00Z,2018-08-27T13:00:00Z,316701,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",97.48
5551,"Golden Temple, Amritsar - PPCB",Amritsar,Punjab,31.62,74.876512,2018-03-09T05:30:00Z,2018-09-05T21:30:00Z,316954,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",97.5
5548,"BTM Layout, Bengaluru - CPCB",Bengaluru,Karnataka,12.9135218,77.5950804,2018-03-09T05:30:00Z,2021-11-25T06:45:00Z,320950,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",96.96
5547,"BWSSB Kadabesanahalli, Bengaluru - CPCB",Bengaluru,Karnataka,12.9352049,77.6814488,2018-03-09T05:30:00Z,2021-10-21T21:45:00Z,320376,100.0,"co,no2,o3,pm10,pm25,so2",95.36
5667,"Bhopal Chauraha, Dewas - MPPCB",Bhopal,Madhya Pradesh,22.9682591,76.064118,2018-03-09T05:30:00Z,2018-05-05T19:15:00Z,317000,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",97.5
2586,"Manali, Chennai - CPCB",Chennai,Tamil Nadu,13.164544,80.26285,2016-03-21T10:00:00Z,2021-10-28T23:30:00Z,751480,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",100.0
5558,"Alandur Bus Depot, Chennai - CPCB",Chennai,Tamil Nadu,12.9099161,80.1076538,2018-03-09T05:30:00Z,2021-10-30T22:30:00Z,315000,100.0,"co,no2,o3,pm10,pm25,so2",97.5
5655,"Velachery Res. Area, Chennai - CPCB",Chennai,Tamil Nadu,13.0052189,80.2398125,2018-03-09T05:30:00Z,2021-10-22T09:15:00Z,312750,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",95.11
6359,"IHBAS, Dilshad Garden,New Delhi - CPCB",Delhi,Delhi,28.6811736,77.3025234,2018-04-28T15:45:00Z,2020-09-12T01:45:00Z,316450,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",96.55
6931,"Dwarka-Sector 8, Delhi - DPCC ",Delhi,Delhi,28.5710274,77.0719006,2018-08-10T06:15:00Z,2018-09-05T16:15:00Z,322000,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",94.55
6358,"Mandir Marg, New Delhi - DPCC",Delhi,Delhi,28.636429,77.201067,2018-08-10T06:00:00Z,2018-09-06T03:00:00Z,317000,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",94.55
6357,"Punjabi Bagh, Delhi - DPCC",Delhi,Delhi,28.674045,77.131023,2018-08-10T06:00:00Z,2018-08-31T06:45:00Z,322000,100.0,"co,no2,o3,pm10,pm25,so2",93.92
5570,"Aya Nagar, New Delhi - IMD",Delhi,Delhi,28.474261,77.131606,2018-03-09T05:30:00Z,2018-08-30T04:30:00Z,267129,100.0,"co,no,no2,nox,o3,pm10,pm25",92.92
6924,"Indirapuram, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,28.646233,77.358075,2019-04-27T11:45:00Z,2019-06-29T16:30:00Z,313000,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",84.55
301,"Vikas Sadan, Gurugram - HSPCB",Gurugram,Haryana,28.4501238,77.0263051,2016-03-25T07:15:00Z,2016-05-06T18:45:00Z,823760,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",100.0
10844,"Ghusuri, Howrah - WBPCB",Howrah,West Bengal,22.611968,88.347422,2018-05-11T05:30:00Z,2018-08-24T11:15:00Z,312944,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",96.03
6946,"Belur Math, Howrah - WBPCB",Howrah,West Bengal,22.629801,88.352017,2019-06-18T23:00:00Z,2019-07-02T18:45:00Z,318000,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",88.57
10896,"Chhoti Gwaltoli, Indore - MPPCB",Indore,Madhya Pradesh,22.431,75.5213,2020-01-06T10:15:00Z,2020-01-23T23:45:00Z,319000,100.0,"co,no2,o3,pm10,pm25,so2",75.22
5542,"Civil Line, Jalandhar - PPCB",Jalandhar,Punjab,31.321907,75.578914,2018-03-09T03:30:00Z,2018-10-13T18:30:00Z,748884,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",92.87
5662,"Nehru Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,26.4703136,80.3229863,2018-03-09T05:30:00Z,2021-10-23T00:30:00Z,314705,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",96.98
10633,"Victoria, Kolkata - WBPCB",Kolkata,West Bengal,22.5448082,88.3403691,2018-04-15T22:45:00Z,2018-05-11T19:45:00Z,338000,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",92.9
6950,"Jadavpur, Kolkata - WBPCB",Kolkata,West Bengal,22.49929,88.36917,2019-06-18T23:00:00Z,2022-10-31T07:30:00+05:30,304514,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",88.17
2456,"Talkatora District Industries Center, Lucknow - CPCB",Lucknow,Uttar Pradesh,26.83399722,80.8917361,2016-03-21T10:00:00Z,2022-10-31T07:30:00+05:30,708326,100.0,"co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed",100.0
